batch_run_id;prediction_run_id;external_id;liga;date;hora;home;away;certified_match;warnings;model_b_version;signature_hash;model_b_artifacts_hash;latency_ms;engine_a_ms;engine_b_ms;curinga_ms;scout_ms;scout_provider;scout_web_context;market_key;ev_rank;family;scope;period;direction;line;fair_prob_raw;fair_prob;fair_odd;fair_prob_curinga_final;odd_final_curinga;market_odd;odd_real;implied_prob_real;odd_source;odd_found;odd_reason;odd_mercado;odd_selecao;odd_linha;edge_pct;expected_value_pct;confidence;certified_slot;source;engine;weight_a;weight_b;weight_source;fair_prob_a;fair_prob_b;pred_odd_motor_a;pred_odd_motor_b;fair_odd_a;fair_odd_b;lambda_home;lambda_away;lambda_total;divergence_pp;divergence_flag;phantom_edge_flag;isotonic_applied;isotonic_reason;isotonic_p_before;isotonic_p_after;isotonic_n_samples;calib_applied;calib_reason;qg_confidence;market_gate_pass;rank_eligible;market_gate_reasons;evidence_engine_b_available;evidence_drivers;evidence_notes
run-2026-05-19-to-2026-05-19-fixmapper-scout;run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;true;;0.4.0-xgb-lgbm;ba7b0695ffd29df1;8313966f2a15679e;12161;7;252;3;11485;gpt-4o;true;gols_total_ft_over_0_5;;gols;total;FT;over;0.5;0.9125112010530321;0.916227;1.0914;0.916227;1.0914;1.07;1.07;0.934579;db:odds;true;;Total de Gols;Mais de 0.5;0.5;-1.96;-1.9637;0.5985;false;;A;0.75;0.25;a_only_history;0.9125112010530321;0.954977810382843;1.0959;1.0471;1.0959;1.0471;1.3442711627805535;1.1675196354673745;;4.25;false;false;true;;0.923128;0.916227;23648;true;;1;false;false;leg_ev_negative|edge_below_min|ev_below_min;false;"[{""label"":""lambda_total_ft"",""value"":2.512,""kind"":""engine_a_input""},{""label"":""lambda_home"",""value"":1.344,""kind"":""engine_a_input""},{""label"":""lambda_away"",""value"":1.168,""kind"":""engine_a_input""},{""label"":""home_attack_x_away_defense"",""value"":0.885,""kind"":""engine_a_strength""},{""label"":""home_recent_avg_gf"",""value"":1.3,""kind"":""split"",""n"":10},{""label"":""home_recent_btts_pct"",""value"":0.5,""kind"":""split"",""n"":10}]";
run-2026-05-19-to-2026-05-19-fixmapper-scout;run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;true;;0.4.0-xgb-lgbm;ba7b0695ffd29df1;8313966f2a15679e;12161;7;252;3;11485;gpt-4o;true;gols_total_ft_under_0_5;;gols;total;FT;under;0.5;0.08748879894696793;0.083773;11.937;0.083773;11.937;7.5;7.5;0.133333;db:odds;true;;Total de Gols;Menos de 0.5;0.5;-37.17;-37.1703;0.5985;false;;A;0.75;0.25;a_only_history;0.08748879894696793;0.04502218961715698;11.43;22.2113;11.43;22.2113;1.3442711627805535;1.1675196354673745;;4.25;true;false;true;;0.076872;0.083773;23648;true;;1;false;false;leg_ev_negative|edge_below_min|ev_below_min;false;"[{""label"":""lambda_total_ft"",""value"":2.512,""kind"":""engine_a_input""},{""label"":""lambda_home"",""value"":1.344,""kind"":""engine_a_input""},{""label"":""lambda_away"",""value"":1.168,""kind"":""engine_a_input""},{""label"":""home_attack_x_away_defense"",""value"":0.885,""kind"":""engine_a_strength""},{""label"":""home_recent_avg_gf"",""value"":1.3,""kind"":""split"",""n"":10},{""label"":""home_recent_btts_pct"",""value"":0.5,""kind"":""split"",""n"":10}]";
run-2026-05-19-to-2026-05-19-fixmapper-scout;run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;true;;0.4.0-xgb-lgbm;ba7b0695ffd29df1;8313966f2a15679e;12161;7;252;3;11485;gpt-4o;true;gols_total_ft_over_1_5;1;gols;total;FT;over;1.5;0.7214795399844971;0.727433;1.3747;0.727433;1.3747;1.53;1.53;0.653595;db:odds;true;;Total de Gols;Mais de 1.5;1.5;11.3;11.2972;0.5985;true;;A;0.75;0.25;a_only_history;0.7214795399844971;0.8248018622398376;1.386;1.2124;1.386;1.2124;1.3442711627805535;1.1675196354673745;;10.33;false;false;true;;0.74731;0.727433;23648;true;;1;true;true;;false;"[{""label"":""lambda_total_ft"",""value"":2.512,""kind"":""engine_a_input""},{""label"":""lambda_home"",""value"":1.344,""kind"":""engine_a_input""},{""label"":""lambda_away"",""value"":1.168,""kind"":""engine_a_input""},{""label"":""home_attack_x_away_defense"",""value"":0.885,""kind"":""engine_a_strength""},{""label"":""home_recent_avg_gf"",""value"":1.3,""kind"":""split"",""n"":10},{""label"":""home_recent_btts_pct"",""value"":0.5,""kind"":""split"",""n"":10}]";
run-2026-05-19-to-2026-05-19-fixmapper-scout;run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;true;;0.4.0-xgb-lgbm;ba7b0695ffd29df1;8313966f2a15679e;12161;7;252;3;11485;gpt-4o;true;gols_total_ft_under_1_5;;gols;total;FT;under;1.5;0.2785204600155029;0.272567;3.6688;0.272567;3.6688;2.45;2.45;0.408163;db:odds;true;;Total de Gols;Menos de 1.5;1.5;-33.22;-33.2211;0.5985;false;;A;0.75;0.25;a_only_history;0.2785204600155029;0.17519813776016235;3.5904;5.7078;3.5904;5.7078;1.3442711627805535;1.1675196354673745;;10.33;true;false;true;;0.25269;0.272567;23648;true;;1;false;false;leg_ev_negative|edge_below_min|ev_below_min;false;"[{""label"":""lambda_total_ft"",""value"":2.512,""kind"":""engine_a_input""},{""label"":""lambda_home"",""value"":1.344,""kind"":""engine_a_input""},{""label"":""lambda_away"",""value"":1.168,""kind"":""engine_a_input""},{""label"":""home_attack_x_away_defense"",""value"":0.885,""kind"":""engine_a_strength""},{""label"":""home_recent_avg_gf"",""value"":1.3,""kind"":""split"",""n"":10},{""label"":""home_recent_btts_pct"",""value"":0.5,""kind"":""split"",""n"":10}]";
run-2026-05-19-to-2026-05-19-fixmapper-scout;run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;true;;0.4.0-xgb-lgbm;ba7b0695ffd29df1;8313966f2a15679e;12161;7;252;3;11485;gpt-4o;true;gols_total_ft_over_2_5;;gols;total;FT;over;2.5;0.459207820968782;0.494032;2.0242;0.494032;2.0242;3.7;3.7;0.27027;db:odds;true;;Total de Gols;Mais de 2.5;2.5;82.79;82.7918;0.5985;false;;A;0.75;0.25;a_only_history;0.459207820968782;0.5552458167076111;2.1777;1.801;2.1777;1.801;1.3442711627805535;1.1675196354673745;;9.6;true;true;true;;0.483217;0.494032;23648;true;;1;true;true;;false;"[{""label"":""lambda_total_ft"",""value"":2.512,""kind"":""engine_a_input""},{""label"":""lambda_home"",""value"":1.344,""kind"":""engine_a_input""},{""label"":""lambda_away"",""value"":1.168,""kind"":""engine_a_input""},{""label"":""home_attack_x_away_defense"",""value"":0.885,""kind"":""engine_a_strength""},{""label"":""home_recent_avg_gf"",""value"":1.3,""kind"":""split"",""n"":10},{""label"":""home_recent_btts_pct"",""value"":0.5,""kind"":""split"",""n"":10}]";
run-2026-05-19-to-2026-05-19-fixmapper-scout;run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;true;;0.4.0-xgb-lgbm;ba7b0695ffd29df1;8313966f2a15679e;12161;7;252;3;11485;gpt-4o;true;gols_total_ft_under_2_5;;gols;total;FT;under;2.5;0.540792179031218;0.505968;1.9764;0.505968;1.9764;1.25;1.25;0.8;db:odds;true;;Total de Gols;Menos de 2.5;2.5;-36.75;-36.754;0.5985;false;;A;0.75;0.25;a_only_history;0.540792179031218;0.4447541832923889;1.8491;2.2484;1.8491;2.2484;1.3442711627805535;1.1675196354673745;;9.6;true;false;true;;0.516783;0.505968;23648;true;;1;false;false;leg_ev_negative|edge_below_min|ev_below_min;false;"[{""label"":""lambda_total_ft"",""value"":2.512,""kind"":""engine_a_input""},{""label"":""lambda_home"",""value"":1.344,""kind"":""engine_a_input""},{""label"":""lambda_away"",""value"":1.168,""kind"":""engine_a_input""},{""label"":""home_attack_x_away_defense"",""value"":0.885,""kind"":""engine_a_strength""},{""label"":""home_recent_avg_gf"",""value"":1.3,""kind"":""split"",""n"":10},{""label"":""home_recent_btts_pct"",""value"":0.5,""kind"":""split"",""n"":10}]";
run-2026-05-19-to-2026-05-19-fixmapper-scout;run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;true;;0.4.0-xgb-lgbm;ba7b0695ffd29df1;8313966f2a15679e;12161;7;252;3;11485;gpt-4o;true;gols_total_ft_over_3_5;;gols;total;FT;over;3.5;0.24494724765041703;0.248451;4.0249;0.248451;4.0249;9.25;9.25;0.108108;db:odds;true;;Total de Gols;Mais de 3.5;3.5;129.82;129.8172;0.5985;false;;A;0.75;0.25;a_only_history;0.24494724765041703;0.22324812412261963;4.0825;4.4793;4.0825;4.4793;1.3442711627805535;1.1675196354673745;;2.17;false;true;true;;0.239522;0.248451;23648;true;;1;true;true;;false;"[{""label"":""lambda_total_ft"",""value"":2.512,""kind"":""engine_a_input""},{""label"":""lambda_home"",""value"":1.344,""kind"":""engine_a_input""},{""label"":""lambda_away"",""value"":1.168,""kind"":""engine_a_input""},{""label"":""home_attack_x_away_defense"",""value"":0.885,""kind"":""engine_a_strength""},{""label"":""home_recent_avg_gf"",""value"":1.3,""kind"":""split"",""n"":10},{""label"":""home_recent_btts_pct"",""value"":0.5,""kind"":""split"",""n"":10}]";
run-2026-05-19-to-2026-05-19-fixmapper-scout;run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;true;;0.4.0-xgb-lgbm;ba7b0695ffd29df1;8313966f2a15679e;12161;7;252;3;11485;gpt-4o;true;gols_total_ft_under_3_5;;gols;total;FT;under;3.5;0.7550527523495829;0.751549;1.3306;0.751549;1.3306;1.04;1.04;0.961538;db:odds;true;;Total de Gols;Menos de 3.5;3.5;-21.84;-21.8389;0.5985;false;;A;0.75;0.25;a_only_history;0.7550527523495829;0.7767518758773804;1.3244;1.2874;1.3244;1.2874;1.3442711627805535;1.1675196354673745;;2.17;false;false;true;;0.760478;0.751549;23648;true;;1;false;false;leg_ev_negative|edge_below_min|ev_below_min;false;"[{""label"":""lambda_total_ft"",""value"":2.512,""kind"":""engine_a_input""},{""label"":""lambda_home"",""value"":1.344,""kind"":""engine_a_input""},{""label"":""lambda_away"",""value"":1.168,""kind"":""engine_a_input""},{""label"":""home_attack_x_away_defense"",""value"":0.885,""kind"":""engine_a_strength""},{""label"":""home_recent_avg_gf"",""value"":1.3,""kind"":""split"",""n"":10},{""label"":""home_recent_btts_pct"",""value"":0.5,""kind"":""split"",""n"":10}]";
run-2026-05-19-to-2026-05-19-fixmapper-scout;run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;true;;0.4.0-xgb-lgbm;ba7b0695ffd29df1;8313966f2a15679e;12161;7;252;3;11485;gpt-4o;true;gols_total_ft_over_4_5;;gols;total;FT;over;4.5;0.11040281352831838;0.1443;6.93;0.1443;6.93;22;22;0.045455;db:odds;true;;Total de Gols;Mais de 4.5;4.5;217.46;217.46;0.5985;false;;A;0.75;0.25;a_only_history;0.11040281352831838;0.15036384761333466;9.0577;6.6505;9.0577;6.6505;1.3442711627805535;1.1675196354673745;;4;true;true;true;;0.120393;0.1443;23648;true;;1;true;true;;false;"[{""label"":""lambda_total_ft"",""value"":2.512,""kind"":""engine_a_input""},{""label"":""lambda_home"",""value"":1.344,""kind"":""engine_a_input""},{""label"":""lambda_away"",""value"":1.168,""kind"":""engine_a_input""},{""label"":""home_attack_x_away_defense"",""value"":0.885,""kind"":""engine_a_strength""},{""label"":""home_recent_avg_gf"",""value"":1.3,""kind"":""split"",""n"":10},{""label"":""home_recent_btts_pct"",""value"":0.5,""kind"":""split"",""n"":10}]";
run-2026-05-19-to-2026-05-19-fixmapper-scout;run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;true;;0.4.0-xgb-lgbm;ba7b0695ffd29df1;8313966f2a15679e;12161;7;252;3;11485;gpt-4o;true;gols_total_ft_under_4_5;;gols;total;FT;under;4.5;0.8895971864716816;0.8557;1.1686;0.8557;1.1686;1.11;1.11;0.900901;db:odds;true;;Total de Gols;Menos de 4.5;4.5;-5.02;-5.0173;0.5985;false;;A;0.75;0.25;a_only_history;0.8895971864716816;0.8496361523866653;1.1241;1.177;1.1241;1.177;1.3442711627805535;1.1675196354673745;;4;false;false;true;;0.879607;0.8557;23648;true;;1;false;false;leg_ev_negative|edge_below_min|ev_below_min;false;"[{""label"":""lambda_total_ft"",""value"":2.512,""kind"":""engine_a_input""},{""label"":""lambda_home"",""value"":1.344,""kind"":""engine_a_input""},{""label"":""lambda_away"",""value"":1.168,""kind"":""engine_a_input""},{""label"":""home_attack_x_away_defense"",""value"":0.885,""kind"":""engine_a_strength""},{""label"":""home_recent_avg_gf"",""value"":1.3,""kind"":""split"",""n"":10},{""label"":""home_recent_btts_pct"",""value"":0.5,""kind"":""split"",""n"":10}]";
run-2026-05-19-to-2026-05-19-fixmapper-scout;run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;true;;0.4.0-xgb-lgbm;ba7b0695ffd29df1;8313966f2a15679e;12161;7;252;3;11485;gpt-4o;true;gols_total_ft_over_5_5;;gols;total;FT;over;5.5;0.042813319211646265;0.072105;13.8686;0.072105;13.8686;40;40;0.025;db:odds;true;;Total de Gols;Mais de 5.5;5.5;188.42;188.42;0.5087;false;;A;1;0;;0.042813319211646265;;23.3572;;23.3572;;1.3442711627805535;1.1675196354673745;;;false;true;true;;0.042813319211646265;0.072105;23648;true;;1;true;true;;false;"[{""label"":""lambda_total_ft"",""value"":2.512,""kind"":""engine_a_input""},{""label"":""lambda_home"",""value"":1.344,""kind"":""engine_a_input""},{""label"":""lambda_away"",""value"":1.168,""kind"":""engine_a_input""},{""label"":""home_attack_x_away_defense"",""value"":0.885,""kind"":""engine_a_strength""},{""label"":""home_recent_avg_gf"",""value"":1.3,""kind"":""split"",""n"":10},{""label"":""home_recent_btts_pct"",""value"":0.5,""kind"":""split"",""n"":10}]";
run-2026-05-19-to-2026-05-19-fixmapper-scout;run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;true;;0.4.0-xgb-lgbm;ba7b0695ffd29df1;8313966f2a15679e;12161;7;252;3;11485;gpt-4o;true;gols_total_ft_under_5_5;;gols;total;FT;under;5.5;0.9571866807883538;0.927895;1.0777;0.927895;1.0777;1.01;1.01;0.990099;db:odds;true;;Total de Gols;Menos de 5.5;5.5;-6.28;-6.2826;0.5087;false;;A;1;0;;0.9571866807883538;;1.0447;;1.0447;;1.3442711627805535;1.1675196354673745;;;false;false;true;;0.9571866807883538;0.927895;23648;true;;1;false;false;leg_ev_negative|edge_below_min|ev_below_min;false;"[{""label"":""lambda_total_ft"",""value"":2.512,""kind"":""engine_a_input""},{""label"":""lambda_home"",""value"":1.344,""kind"":""engine_a_input""},{""label"":""lambda_away"",""value"":1.168,""kind"":""engine_a_input""},{""label"":""home_attack_x_away_defense"",""value"":0.885,""kind"":""engine_a_strength""},{""label"":""home_recent_avg_gf"",""value"":1.3,""kind"":""split"",""n"":10},{""label"":""home_recent_btts_pct"",""value"":0.5,""kind"":""split"",""n"":10}]";
run-2026-05-19-to-2026-05-19-fixmapper-scout;run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;true;;0.4.0-xgb-lgbm;ba7b0695ffd29df1;8313966f2a15679e;12161;7;252;3;11485;gpt-4o;true;gols_total_ft_over_6_5;;gols;total;FT;over;6.5;0.014518207564504846;0.024678;40.5215;0.024678;40.5215;25;25;0.04;db:odds;true;;Total de Gols;Mais de 6.5;6.5;-38.3;-38.305;0.5087;false;;A;1;0;;0.014518207564504846;;68.879;;68.879;;1.3442711627805535;1.1675196354673745;;;false;false;true;;0.014518207564504846;0.024678;23648;true;;1;false;false;leg_ev_negative|edge_below_min|ev_below_min;false;"[{""label"":""lambda_total_ft"",""value"":2.512,""kind"":""engine_a_input""},{""label"":""lambda_home"",""value"":1.344,""kind"":""engine_a_input""},{""label"":""lambda_away"",""value"":1.168,""kind"":""engine_a_input""},{""label"":""home_attack_x_away_defense"",""value"":0.885,""kind"":""engine_a_strength""},{""label"":""home_recent_avg_gf"",""value"":1.3,""kind"":""split"",""n"":10},{""label"":""home_recent_btts_pct"",""value"":0.5,""kind"":""split"",""n"":10}]";
run-2026-05-19-to-2026-05-19-fixmapper-scout;run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;true;;0.4.0-xgb-lgbm;ba7b0695ffd29df1;8313966f2a15679e;12161;7;252;3;11485;gpt-4o;true;gols_total_ft_under_6_5;;gols;total;FT;under;6.5;0.9854817924354952;0.975322;1.0253;0.975322;1.0253;1.01;1.01;0.990099;db:odds;true;;Total de Gols;Menos de 6.5;6.5;-1.49;-1.4925;0.5087;false;;A;1;0;;0.9854817924354952;;1.0147;;1.0147;;1.3442711627805535;1.1675196354673745;;;false;false;true;;0.9854817924354952;0.975322;23648;true;;1;false;false;leg_ev_negative|edge_below_min|ev_below_min;false;"[{""label"":""lambda_total_ft"",""value"":2.512,""kind"":""engine_a_input""},{""label"":""lambda_home"",""value"":1.344,""kind"":""engine_a_input""},{""label"":""lambda_away"",""value"":1.168,""kind"":""engine_a_input""},{""label"":""home_attack_x_away_defense"",""value"":0.885,""kind"":""engine_a_strength""},{""label"":""home_recent_avg_gf"",""value"":1.3,""kind"":""split"",""n"":10},{""label"":""home_recent_btts_pct"",""value"":0.5,""kind"":""split"",""n"":10}]";
run-2026-05-19-to-2026-05-19-fixmapper-scout;run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;true;;0.4.0-xgb-lgbm;ba7b0695ffd29df1;8313966f2a15679e;12161;7;252;3;11485;gpt-4o;true;gols_total_ft_over_7_5;;gols;total;FT;over;7.5;0.0043651502686923565;0.013866;72.1197;0.013866;72.1197;40;40;0.025;db:odds;true;;Total de Gols;Mais de 7.5;7.5;-44.54;-44.536;0.5087;false;;A;1;0;;0.0043651502686923565;;229.0872;;229.0872;;1.3442711627805535;1.1675196354673745;;;false;false;true;;0.0043651502686923565;0.013866;23648;true;;1;false;false;leg_ev_negative|edge_below_min|ev_below_min;false;"[{""label"":""lambda_total_ft"",""value"":2.512,""kind"":""engine_a_input""},{""label"":""lambda_home"",""value"":1.344,""kind"":""engine_a_input""},{""label"":""lambda_away"",""value"":1.168,""kind"":""engine_a_input""},{""label"":""home_attack_x_away_defense"",""value"":0.885,""kind"":""engine_a_strength""},{""label"":""home_recent_avg_gf"",""value"":1.3,""kind"":""split"",""n"":10},{""label"":""home_recent_btts_pct"",""value"":0.5,""kind"":""split"",""n"":10}]";
run-2026-05-19-to-2026-05-19-fixmapper-scout;run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;true;;0.4.0-xgb-lgbm;ba7b0695ffd29df1;8313966f2a15679e;12161;7;252;3;11485;gpt-4o;true;gols_total_ft_under_7_5;;gols;total;FT;under;7.5;0.9956348497313077;0.986134;1.0141;0.986134;1.0141;;;;db:odds;false;mapped_but_not_offered_by_superbet;;;;;;0.5087;false;;A;1;0;;0.9956348497313077;;1.0044;;1.0044;;1.3442711627805535;1.1675196354673745;;;false;false;true;;0.9956348497313077;0.986134;23648;true;;1;false;false;no_market_odd;false;"[{""label"":""lambda_total_ft"",""value"":2.512,""kind"":""engine_a_input""},{""label"":""lambda_home"",""value"":1.344,""kind"":""engine_a_input""},{""label"":""lambda_away"",""value"":1.168,""kind"":""engine_a_input""},{""label"":""home_attack_x_away_defense"",""value"":0.885,""kind"":""engine_a_strength""},{""label"":""home_recent_avg_gf"",""value"":1.3,""kind"":""split"",""n"":10},{""label"":""home_recent_btts_pct"",""value"":0.5,""kind"":""split"",""n"":10}]";
run-2026-05-19-to-2026-05-19-fixmapper-scout;run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;true;;0.4.0-xgb-lgbm;ba7b0695ffd29df1;8313966f2a15679e;12161;7;252;3;11485;gpt-4o;true;gols_home_ft_over_0_5;;gols;home;FT;over;0.5;0.7392703313222746;0.715775;1.3971;0.715775;1.3971;;;;db:odds;false;mapped_but_not_offered_by_superbet;;;;;;0.407;false;;A;1;0;;0.7392703313222746;;1.3527;;1.3527;;1.3442711627805535;1.1675196354673745;;;false;false;true;;0.7392703313222746;0.715775;23648;true;;0.8;false;false;no_market_odd;false;"[{""label"":""lambda_total_ft"",""value"":2.512,""kind"":""engine_a_input""},{""label"":""lambda_home"",""value"":1.344,""kind"":""engine_a_input""},{""label"":""lambda_away"",""value"":1.168,""kind"":""engine_a_input""},{""label"":""home_attack_x_away_defense"",""value"":0.885,""kind"":""engine_a_strength""},{""label"":""home_recent_avg_gf"",""value"":1.3,""kind"":""split"",""n"":10},{""label"":""home_recent_btts_pct"",""value"":0.5,""kind"":""split"",""n"":10}]";
run-2026-05-19-to-2026-05-19-fixmapper-scout;run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;true;;0.4.0-xgb-lgbm;ba7b0695ffd29df1;8313966f2a15679e;12161;7;252;3;11485;gpt-4o;true;gols_home_ft_under_0_5;;gols;home;FT;under;0.5;0.2607296686777254;0.284225;3.5183;0.284225;3.5183;;;;db:odds;false;mapped_but_not_offered_by_superbet;;;;;;0.407;false;;A;1;0;;0.2607296686777254;;3.8354;;3.8354;;1.3442711627805535;1.1675196354673745;;;false;false;true;;0.2607296686777254;0.284225;23648;true;;0.8;false;false;no_market_odd;false;"[{""label"":""lambda_total_ft"",""value"":2.512,""kind"":""engine_a_input""},{""label"":""lambda_home"",""value"":1.344,""kind"":""engine_a_input""},{""label"":""lambda_away"",""value"":1.168,""kind"":""engine_a_input""},{""label"":""home_attack_x_away_defense"",""value"":0.885,""kind"":""engine_a_strength""},{""label"":""home_recent_avg_gf"",""value"":1.3,""kind"":""split"",""n"":10},{""label"":""home_recent_btts_pct"",""value"":0.5,""kind"":""split"",""n"":10}]";
run-2026-05-19-to-2026-05-19-fixmapper-scout;run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;true;;0.4.0-xgb-lgbm;ba7b0695ffd29df1;8313966f2a15679e;12161;7;252;3;11485;gpt-4o;true;gols_home_ft_over_1_5;;gols;home;FT;over;1.5;0.38877895643747873;0.381302;2.6226;0.381302;2.6226;;;;db:odds;false;mapped_but_not_offered_by_superbet;;;;;;0.407;false;;A;1;0;;0.38877895643747873;;2.5722;;2.5722;;1.3442711627805535;1.1675196354673745;;;false;false;true;;0.38877895643747873;0.381302;23648;true;;0.8;false;false;no_market_odd;false;"[{""label"":""lambda_total_ft"",""value"":2.512,""kind"":""engine_a_input""},{""label"":""lambda_home"",""value"":1.344,""kind"":""engine_a_input""},{""label"":""lambda_away"",""value"":1.168,""kind"":""engine_a_input""},{""label"":""home_attack_x_away_defense"",""value"":0.885,""kind"":""engine_a_strength""},{""label"":""home_recent_avg_gf"",""value"":1.3,""kind"":""split"",""n"":10},{""label"":""home_recent_btts_pct"",""value"":0.5,""kind"":""split"",""n"":10}]";
run-2026-05-19-to-2026-05-19-fixmapper-scout;run-2026-05-19-to-2026-05-19-fixmapper-scout__51wruvqfagv0fz9vzksxri4gk;51wruvqfagv0fz9vzksxri4gk;premier-league;2026-05-19;18:30;AFC Bournemouth;Manchester City;true;;0.4.0-xgb-lgbm;ba7b0695ffd29df1;8313966f2a15679e;12161;7;252;3;11485;gpt-4o;true;gols_home_ft_under_1_5;;gols;home;FT;under;1.5;0.6112210435625213;0.618698;1.6163;0.618698;1.6163;;;;db:odds;false;mapped_but_not_offered_by_superbet;;;;;;0.407;false;;A;1;0;;0.6112210435625213;;1.6361;;1.6361;;1.3442711627805535;1.1675196354673745;;;false;false;true;;0.6112210435625213;0.618698;23648;true;;0.8;false;false;no_market_odd;false;"[{""label"":""lambda_total_ft"",""value"":2.512,""kind"":""engine_a_input""},{""label"":""lambda_home"",""value"":1.344,""kind"":""engine_a_input""},{""label"":""lambda_away"",""value"":1.168,""kind"":""engine_a_input""},{""label"":""home_attack_x_away_defense"",""value"":0.885,""kind"":""engine_a_strength""},{""label"":""home_recent_avg_gf"",""value"":1.3,""kind"":""split"",""n"":10},{""label"":""home_recent_btts_pct"",""value"":0.5,""kind"":""split"",""n"":10}]";
